notifying_member,year,vigilance_index,vigilance_index_3y_ma,intensity_core,intensity_core_per_1m,intensity_core_per_10m,intensity_scaled,intensity_scaled_3y_ma,ban_flow,banflow_scaled,banflow_scaled_3y_ma,breadth,breadth_3y_ma,breadth_vectors,breadth_targets,total_notices,tier1_count,tier2_count,tier3_count,tier1_prop,tier1_prop_3y_ma,tier2_prop,tier2_prop_3y_ma,tier3_prop,tier3_prop_3y_ma,sps_engagement,sps_engagement_3y_ma,n_regular,n_emergency,n_regular_addenda,n_emergency_addenda,n_total,cum_n_regular,cum_n_emergency,cum_n_regular_addenda,cum_n_emergency_addenda,cum_n_total,cum_total_notices,population,n_total_per_1m,n_total_per_10m,cum_total_per_1m,cum_total_per_10m,contaminants,pathogens,pests,biotechnology,plant_health,animal_health,human_health
Albania,2014,38.13365093831807,44.425623800556885,12.0,4.153536875100377,41.53536875100377,50.57606357443905,58.171049422269185,11.0,30.555555555555557,37.03703703703704,23.39988942688026,26.428442987863928,20.69084251518169,26.108936338578832,12,12,0,0,1.0,0.9722222222222222,0.0,0.027777777777777776,0.0,0.0,0,0.0,1.0,11.0,0.0,0.0,12.0,23.0,158.0,0.0,5.0,186.0,186.0,2889104.0,4.153536875100377,41.53536875100377,64.37982156405585,643.7982156405585,0.0,11.0,1.0,0.0,1.0,11.0,0.0
Albania,2015,19.700186158070352,30.098032268089792,4.0,1.3885499477037375,13.885499477037376,16.90785288373083,38.617464940454035,3.0,8.333333333333332,23.14814814814815,45.874928468624056,23.091605965168103,40.56390622295664,51.18595071429147,4,4,0,0,1.0,0.9722222222222222,0.0,0.027777777777777776,0.0,0.0,0,0.0,1.0,3.0,0.0,0.0,4.0,24.0,161.0,0.0,5.0,190.0,190.0,2880703.0,1.3885499477037375,13.885499477037376,65.95612251592753,659.5612251592754,0.0,3.0,1.0,0.0,1.0,3.0,0.0
Albania,2016,40.39671669679057,32.743517931059664,10.0,3.4769293567924073,34.76929356792407,42.337267124591634,36.60706119425384,9.0,25.0,21.296296296296294,62.97473245362166,44.083183449708656,51.096404744368115,74.85306016287521,11,9,2,0,0.8181818181818182,0.9393939393939394,0.18181818181818182,0.06060606060606061,0.0,0.0,0,0.0,3.0,8.0,0.0,0.0,11.0,27.0,169.0,0.0,5.0,201.0,201.0,2876101.0,3.8246222924716484,38.246222924716484,69.8862800715274,698.8628007152739,0.5,8.0,1.0,0.5,1.5,8.0,2.0
Albania,2017,18.496946282400376,26.197949712420435,5.0,1.7400643197375147,17.400643197375146,21.188111796053523,26.811077268125327,5.0,13.88888888888889,15.74074074074074,20.505924315325903,43.118528412523865,-0.0,41.011848630651805,5,5,0,0,1.0,0.9393939393939394,0.0,0.06060606060606061,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,5.0,27.0,174.0,0.0,5.0,206.0,206.0,2873457.0,1.7400643197375147,17.400643197375146,71.69064997318561,716.9064997318561,0.0,5.0,0.0,0.0,0.0,5.0,1.0
Albania,2023,19.97436494821315,26.289342642468032,5.5,2.0029337516915686,20.029337516915685,24.388974458904833,29.304784459849998,3.0,8.333333333333332,15.740740740740739,30.41329887519655,37.96465188138137,-0.0,60.8265977503931,6,5,1,0,0.8333333333333334,0.8838383838383838,0.16666666666666666,0.11616161616161617,0.0,0.0,0,0.0,4.0,0.0,2.0,0.0,6.0,31.0,174.0,2.0,5.0,212.0,212.0,2745972.0,2.185018638208984,21.850186382089838,77.2039918833841,772.0399188338409,0.0,5.5,0.0,0.0,3.5,5.5,0.0
Albania,2024,34.35189709206526,24.274402774226264,6.15,2.2655129618653387,22.655129618653387,27.586303199787544,24.3877964849153,6.0,16.666666666666664,12.962962962962962,80.52363659413763,43.81428659488669,72.37600133454879,88.67127185372645,7,6,0,1,0.8571428571428571,0.8968253968253967,0.0,0.05555555555555555,0.14285714285714285,0.047619047619047616,1,0.3333333333333333,3.0,2.0,1.0,1.0,7.0,34.0,176.0,3.0,6.0,219.0,219.0,2714617.0,2.5786326395215236,25.786326395215237,80.67436400788768,806.7436400788766,1.0,3.15,2.0,0.0,4.0,3.15,1.0
Albania,2025,7.318552530828752,20.54827152370239,0.5,0.18418804568010883,1.8418804568010883,2.2427888780315075,18.07268884557463,0.0,0.0,8.333333333333332,31.54648767857287,47.49447438263568,-0.0,63.09297535714574,1,0,1,0,0.0,0.5634920634920634,1.0,0.3888888888888889,0.0,0.047619047619047616,0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,35.0,176.0,3.0,6.0,220.0,220.0,2714617.0,0.36837609136021765,3.6837609136021765,81.04274009924788,810.4274009924789,0.0,0.5,0.0,0.0,0.0,0.5,0.5
Antigua and Barbuda,2005,65.35628627540903,,3.5,43.963773850347316,439.63773850347314,100.0,,3.0,8.333333333333332,,87.19809804371182,,77.83283537314115,96.5633607142825,4,3,1,0,0.75,,0.25,,0.0,,0,,1.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,79611.0,50.2443129718255,502.443129718255,50.2443129718255,502.443129718255,1.5,1.0,1.0,0.0,2.0,1.0,1.5
Argentina,1995,2.972827510849602,,1.15,0.03279154103704532,0.3279154103704532,0.39929031908579155,,0.0,0.0,,13.965734336304978,,27.931468672609956,-0.0,2,1,0,1,0.5,,0.0,,0.5,,1,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,35070020.0,0.057028767020948376,0.5702876702094838,0.057028767020948376,0.5702876702094838,0.15,0.0,1.0,0.0,1.15,0.0,0.0
Argentina,1996,4.925337370894839,3.9490824408722203,2.6,0.07321099157164092,0.7321099157164092,0.8914628364736862,0.6453765777797389,2.0,5.555555555555555,2.7777777777777777,12.89867325018618,13.432203793245579,25.79734650037236,-0.0,6,2,0,4,0.3333333333333333,0.41666666666666663,0.0,0.0,0.6666666666666666,0.5833333333333333,4,2.5,3.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,0.0,8.0,8.0,35513793.0,0.1689484420884021,1.689484420884021,0.2252645894512028,2.2526458945120282,0.3,2.3,0.0,0.0,0.0,2.6,0.0
Argentina,1997,0.07621444018832382,2.658126440644255,0.5,0.013909060503884648,0.1390906050388465,0.1693654226407196,0.4867061927333991,0.0,0.0,1.8518518518518519,-0.0,8.954802528830387,-0.0,-0.0,1,0,1,0,0.0,0.27777777777777773,1.0,0.3333333333333333,0.0,0.38888888888888884,0,1.6666666666666667,1.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,9.0,9.0,35947791.0,0.027818121007769297,0.278181210077693,0.25036308906992366,2.5036308906992364,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Argentina,1998,17.01308535667782,7.33821238925366,6.75,0.1855779281585226,1.8557792815852259,2.2597129566428364,1.1068470719190808,2.0,5.555555555555555,3.7037037037037037,70.25885040872049,27.71917455296889,56.503109407966775,84.0145914094742,28,3,0,25,0.10714285714285714,0.14682539682539683,0.0,0.3333333333333333,0.8928571428571429,0.5198412698412699,25,9.666666666666666,27.0,1.0,0.0,0.0,28.0,33.0,3.0,1.0,0.0,37.0,37.0,36372860.0,0.7698047390279456,7.698047390279456,1.0172419765726424,10.172419765726424,0.15,3.15,3.4499999999999997,0.0,3.4499999999999997,3.0,0.6
Argentina,1999,15.156069773610142,10.748456523492095,7.8,0.21198715618740774,2.1198715618740773,2.581288239565653,1.6701222062830698,5.0,13.88888888888889,6.481481481481481,45.666894773472436,38.64191506073097,38.995703059851756,52.33808648709311,19,5,2,12,0.2631578947368421,0.12343358395989974,0.10526315789473684,0.3684210526315789,0.631578947368421,0.5081453634085213,12,12.333333333333334,13.0,4.0,2.0,0.0,19.0,46.0,7.0,3.0,0.0,56.0,56.0,36794682.0,0.5163789702000957,5.163789702000957,1.5219590700634402,15.219590700634402,1.0,6.5,0.3,0.0,0.3,6.35,1.15
Argentina,2000,13.846088572460536,15.338414567582833,0.75,0.02015371425967185,0.20153714259671848,0.24540423362284686,1.6954684766104453,0.0,0.0,6.481481481481481,68.67828333665128,61.53467617294806,76.09640474436813,61.26016192893442,5,0,0,5,0.0,0.12343358395989974,0.0,0.03508771929824561,1.0,0.8414786967418547,5,14.0,4.0,0.0,1.0,0.0,5.0,50.0,7.0,4.0,0.0,61.0,61.0,37213984.0,0.134358095064479,1.3435809506447898,1.6391687597866436,16.391687597866436,0.15,0.3,0.3,0.0,0.44999999999999996,0.3,0.0
Argentina,2001,5.611130012218032,11.537762786096236,5.15,0.13687771305248597,1.3687771305248595,1.6667086691264914,1.4978003807716638,5.0,13.88888888888889,9.25925925925926,-0.0,38.11505937004124,-0.0,-0.0,6,5,0,1,0.8333333333333334,0.3654970760233918,0.0,0.03508771929824561,0.16666666666666666,0.5994152046783626,1,6.0,1.0,5.0,0.0,0.0,6.0,51.0,12.0,4.0,0.0,67.0,67.0,37624825.0,0.15946918025532344,1.5946918025532344,1.7807391795177785,17.807391795177786,0.0,5.15,0.0,0.0,0.0,5.15,0.0
Argentina,2002,15.958548577651545,11.805255720776705,5.75,0.1511990121103572,1.5119901211035718,1.841093766309948,1.2510688896864288,4.0,11.11111111111111,8.333333333333334,56.2058374696159,41.628040268755726,52.33994581774481,60.07172912148698,10,5,0,5,0.5,0.4444444444444445,0.0,0.0,0.5,0.5555555555555555,5,3.6666666666666665,3.0,4.0,3.0,0.0,10.0,54.0,16.0,7.0,0.0,77.0,77.0,38029349.0,0.2629548036701864,2.629548036701864,2.0247519882604355,20.247519882604355,1.3,4.15,0.3,0.0,1.45,4.45,0.15
Argentina,2003,0.16399535492336045,7.244557981597644,1.15,0.029928991256102065,0.29928991256102067,0.3644341220519121,1.290745519162784,0.0,0.0,8.333333333333334,-0.0,18.735279156538635,-0.0,-0.0,2,1,0,1,0.5,0.6111111111111112,0.0,0.0,0.5,0.38888888888888884,1,2.3333333333333335,1.0,0.0,0.0,1.0,2.0,55.0,16.0,7.0,1.0,79.0,79.0,38424282.0,0.05205041957582968,0.5205041957582968,2.0559915732452723,20.559915732452723,0.0,1.15,0.0,0.0,0.0,1.15,0.0
Argentina,2004,0.07058292188884234,5.397708951487915,0.5,0.012881313943486482,0.1288131394348648,0.15685093753076076,0.7874596086308737,0.0,0.0,3.7037037037037037,-0.0,18.735279156538635,-0.0,-0.0,1,0,1,0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0,2.0,1.0,0.0,0.0,0.0,1.0,56.0,16.0,7.0,1.0,80.0,80.0,38815916.0,0.025762627886972964,0.2576262788697296,2.061010230957837,20.61010230957837,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Argentina,2005,17.77039975442842,6.001659343746874,6.95,0.17722001666174148,1.7722001666174148,2.157941797285904,0.8930756189561923,2.0,5.555555555555555,1.8518518518518519,74.27440750602659,24.7581358353422,49.68405859941017,98.86475641264302,13,3,7,3,0.23076923076923078,0.24358974358974353,0.5384615384615384,0.5128205128205128,0.23076923076923078,0.2435897435897436,3,1.3333333333333333,9.0,1.0,3.0,0.0,13.0,65.0,17.0,10.0,1.0,93.0,93.0,39216789.0,0.33149067864786175,3.3149067864786175,2.371433316480857,23.714333164808572,3.15,3.8,0.0,0.0,2.5,2.3,3.3
Argentina,2006,20.027285471367968,12.622756049228409,11.65,0.29402771659211024,2.940277165921102,3.5802654302064765,1.965019388341047,1.0,2.7777777777777777,2.7777777777777772,87.21971902776414,53.83137551126358,78.12144183345498,96.31799622207332,18,6,11,1,0.3333333333333333,0.188034188034188,0.6111111111111112,0.7165242165242165,0.05555555555555555,0.09544159544159543,1,1.3333333333333333,17.0,1.0,0.0,0.0,18.0,82.0,18.0,10.0,1.0,111.0,111.0,39622115.0,0.4542917509577669,4.542917509577669,2.801465797572896,28.01465797572896,3.0,4.65,4.0,0.0,4.0,5.15,2.5
Argentina,2007,15.585534996535136,17.794406740777173,8.95,0.2236562712481267,2.236562712481267,2.723378685110115,2.820528637534165,0.0,0.0,2.7777777777777772,71.80007294117792,77.76473315832288,73.83743619625521,69.76270968610062,18,2,13,3,0.1111111111111111,0.225071225071225,0.7222222222222222,0.6239316239316239,0.16666666666666666,0.150997150997151,3,2.3333333333333335,15.0,0.0,3.0,0.0,18.0,97.0,18.0,13.0,1.0,129.0,129.0,40016763.0,0.4498114952476291,4.498114952476291,3.223649049274675,32.23649049274675,1.5,3.3,4.15,0.0,4.5,4.3,0.15
Argentina,2008,16.07428655985476,17.229035675919288,5.4,0.133583520424475,1.3358352042447499,1.6265965187373836,2.6434135446846585,1.0,2.7777777777777777,1.8518518518518519,71.85047952100356,76.9567571633152,75.81861581598761,67.88234322601953,13,2,5,6,0.15384615384615385,0.19943019943019938,0.38461538461538464,0.5726495726495727,0.46153846153846156,0.22792022792022792,6,3.3333333333333335,6.0,0.0,7.0,0.0,13.0,103.0,18.0,20.0,1.0,142.0,142.0,40424148.0,0.32158995657743983,3.215899565774398,3.5127518333843426,35.127518333843426,1.15,1.75,2.5,0.0,3.5,1.75,0.15
Argentina,2009,11.264721022166375,14.308180859518755,4.1,0.1003553288471564,1.003553288471564,1.2219892694909225,1.8573214911128073,0.0,0.0,0.9259259259259259,53.5741292544773,65.7415605722196,47.371756809201536,59.77650169975306,11,0,7,4,0.0,0.08831908831908829,0.6363636363636364,0.5810670810670812,0.36363636363636365,0.3306138306138306,4,4.333333333333333,7.0,0.0,4.0,0.0,11.0,110.0,18.0,24.0,1.0,153.0,153.0,40854831.0,0.2692460042240782,2.6924600422407816,3.744967149662178,37.44967149662178,0.0,2.6,1.5,0.0,1.5,2.6,0.0
Argentina,2010,11.843016243608197,13.060674608543108,5.95,0.1441072464050328,1.441072464050328,1.7547399902503953,1.5344419261595672,4.0,11.11111111111111,4.62962962962963,35.82247179553315,53.74902685700467,31.675240378464153,39.969703212602134,10,4,3,3,0.4,0.1846153846153846,0.3,0.4403263403263404,0.3,0.3750582750582751,3,4.333333333333333,7.0,0.0,3.0,0.0,10.0,117.0,18.0,27.0,1.0,163.0,163.0,41288694.0,0.24219705278156775,2.421970527815678,3.9478119603395543,39.47811960339554,0.0,0.95,5.0,0.0,5.0,0.95,0.0
Argentina,2011,16.40172653927631,13.169821268350292,12.1,0.2899546760103962,2.899546760103962,3.5306695398613206,2.1691329332008795,2.0,5.555555555555555,5.5555555555555545,64.34240400947137,51.24633501982728,57.63709172478121,71.04771629416153,22,5,13,4,0.22727272727272727,0.20909090909090908,0.5909090909090909,0.5090909090909091,0.18181818181818182,0.2818181818181818,4,3.6666666666666665,14.0,2.0,5.0,1.0,22.0,131.0,20.0,32.0,2.0,185.0,185.0,41730660.0,0.5271903200189022,5.271903200189022,4.433191327431677,44.331913274316776,1.5,8.6,2.0,0.0,2.0,9.1,1.5
Argentina,2012,6.78895414474747,11.677898975877325,4.8,0.11384734508347039,1.1384734508347039,1.3862765002137,2.223895343441805,0.0,0.0,5.5555555555555545,30.825648598256524,43.66350813442035,48.99343783255763,12.657859363955415,11,0,9,2,0.0,0.20909090909090908,0.8181818181818182,0.5696969696969697,0.18181818181818182,0.2212121212121212,2,3.0,10.0,0.0,1.0,0.0,11.0,141.0,20.0,33.0,2.0,196.0,196.0,42161721.0,0.2609001658162863,2.609001658162863,4.648766590908374,46.48766590908374,2.0,2.8,0.0,0.0,0.0,4.65,0.15
Argentina,2013,13.670422705194332,12.2870344630727,5.3,0.12446440676095355,1.2446440676095354,1.5155564855662202,2.14416750854708,1.0,2.7777777777777777,2.7777777777777772,60.08100032233655,51.74968431002148,48.44636702697951,71.7156336176936,11,1,8,2,0.09090909090909091,0.10606060606060602,0.7272727272727273,0.712121212121212,0.18181818181818182,0.18181818181818182,2,2.6666666666666665,11.0,0.0,0.0,0.0,11.0,152.0,20.0,33.0,2.0,207.0,207.0,42582455.0,0.25832235365480927,2.5832235365480924,4.861157018776865,48.61157018776865,0.5,4.15,0.65,0.0,0.65,4.15,1.0
Argentina,2014,16.974753974423525,12.478043608121773,3.7,0.08599837054006348,0.859983705400635,1.0471699629793958,1.3163343162531054,0.0,0.0,0.9259259259259259,82.51763745541398,57.808095458669015,77.67127807349628,87.36399683733167,13,0,5,8,0.0,0.030303030303030266,0.38461538461538464,0.6433566433566434,0.6153846153846154,0.32634032634032634,8,4.0,4.0,0.0,9.0,0.0,13.0,156.0,20.0,42.0,2.0,220.0,220.0,43024071.0,0.3021564370326555,3.021564370326555,5.113416626706478,51.13416626706478,1.6,1.1,1.0,0.0,1.5,2.2,0.5
Argentina,2015,10.009282408105664,13.551486362574503,3.5999999999999996,0.0828023784155176,0.8280237841551761,1.0082535633578003,1.1903266706344722,2.0,5.555555555555555,2.7777777777777772,38.05561930075105,60.21808569283386,60.34542125759085,15.765817343911243,8,2,2,4,0.25,0.1136363636363636,0.25,0.45396270396270405,0.5,0.43240093240093236,4,4.666666666666667,3.0,2.0,3.0,0.0,8.0,159.0,22.0,45.0,2.0,228.0,228.0,43477012.0,0.1840052853678169,1.840052853678169,5.244150632982782,52.44150632982782,1.65,1.8,0.15,0.0,0.15,3.45,0.0
Argentina,2016,10.17835570256615,12.38746402836511,8.25,0.1879257671807488,1.879257671807488,2.2883017134593486,1.447908413265515,1.0,2.7777777777777777,2.7777777777777772,40.881988546436105,53.81841510086704,39.44703286483104,42.31694422804117,17,3,9,5,0.17647058823529413,0.142156862745098,0.5294117647058824,0.3880090497737556,0.29411764705882354,0.46983408748114636,5,5.666666666666667,12.0,1.0,4.0,0.0,17.0,171.0,23.0,49.0,2.0,245.0,245.0,43900313.0,0.3872409747966945,3.872409747966945,5.58082581324648,55.80825813246479,0.0,1.9500000000000002,6.3,0.0,6.8,1.45,0.0
Argentina,2017,0.2350705554957658,6.807569555389191,1.9,0.042900145575999256,0.42900145575999254,0.5223790122128129,1.2729780963433206,0.0,0.0,2.7777777777777772,-0.0,26.312535949062383,-0.0,-0.0,8,0,2,6,0.0,0.142156862745098,0.25,0.34313725490196073,0.75,0.5147058823529411,6,5.0,6.0,0.0,2.0,0.0,8.0,177.0,23.0,51.0,2.0,253.0,253.0,44288894.0,0.18063219189894425,1.8063219189894424,5.712493068804111,57.12493068804112,0.0,0.0,1.9,0.0,1.9,0.0,0.0
Argentina,2018,6.79707120010473,5.736832486055547,8.75,0.19594722028377548,1.9594722028377547,2.3859759449149816,1.7322188901957143,3.0,8.333333333333332,3.703703703703703,14.033576791131608,18.305188445855904,28.067153582263217,-0.0,16,5,6,5,0.3125,0.16299019607843135,0.375,0.3848039215686274,0.3125,0.4522058823529411,5,5.333333333333333,13.0,0.0,3.0,0.0,16.0,190.0,23.0,54.0,2.0,269.0,269.0,44654882.0,0.3583034885189037,3.5830348851890372,6.0239774007240685,60.23977400724068,0.0,1.15,7.6,0.0,8.75,0.0,0.0
Argentina,2019,12.002011394245581,6.3447177166153566,7.4,0.16454146906403588,1.6454146906403586,2.0035598696383703,1.637304942255388,2.0,5.555555555555555,4.629629629629629,45.77982504231936,19.937800611150323,45.67208629789407,45.88756378674465,16,3,7,6,0.1875,0.16666666666666663,0.4375,0.3541666666666667,0.375,0.4791666666666667,6,5.666666666666667,12.0,0.0,4.0,0.0,16.0,202.0,23.0,58.0,2.0,285.0,285.0,44973465.0,0.35576533851683434,3.557653385168343,6.337070092331111,63.37070092331111,1.0,0.5,5.9,0.0,5.9,1.5,0.0
Argentina,2020,12.562362853257225,10.45381514920251,3.9,0.08629852674031767,0.8629852674031766,1.0508248526608437,1.813453555738065,0.0,0.0,4.629629629629629,60.44745834779922,40.086953393750065,47.09142677237578,73.80348992322266,10,2,2,6,0.2,0.2333333333333333,0.2,0.33749999999999997,0.6,0.42916666666666664,6,5.666666666666667,8.0,0.0,2.0,0.0,10.0,210.0,23.0,60.0,2.0,295.0,295.0,45191965.0,0.22127827369312222,2.212782736931222,6.527709073947105,65.27709073947105,2.5,0.0,1.4,0.0,3.4,0.5,1.0
Argentina,2021,4.841683149300907,9.802019132267903,2.65,0.058483041275278105,0.5848304127527811,0.71212609939656,1.2555036072319246,1.0,2.7777777777777777,2.7777777777777772,17.745020911751162,41.32410143395658,15.690648208443255,19.799393615059067,12,1,0,11,0.08333333333333333,0.15694444444444441,0.0,0.2125,0.9166666666666666,0.6305555555555555,11,7.666666666666667,11.0,0.0,1.0,0.0,12.0,221.0,23.0,61.0,2.0,307.0,307.0,45312281.0,0.26482886615220275,2.6482886615220274,6.775205159060521,67.7520515906052,0.0,0.15,2.5,0.0,2.5,0.15,0.0
Argentina,2022,1.249768781705139,6.2179382614210885,2.3,0.05065197459895969,0.5065197459895969,0.6167701321842599,0.7932403614138878,1.0,2.7777777777777777,1.8518518518518512,-0.0,26.06415975318346,-0.0,-0.0,5,1,2,2,0.2,0.16111111111111107,0.4,0.19999999999999996,0.4,0.6388888888888888,2,6.333333333333333,5.0,0.0,0.0,0.0,5.0,226.0,23.0,61.0,2.0,312.0,312.0,45407904.0,0.11011298825860802,1.1011298825860802,6.87105046733714,68.7105046733714,0.0,0.0,2.3,0.0,2.3,0.0,0.0
Argentina,2023,2.4377835559777914,2.843078495661277,4.1,0.09003390347412504,0.9003390347412505,1.0963091367407716,0.8084017894405305,2.0,5.555555555555555,3.703703703703703,-0.0,5.915006970583721,-0.0,-0.0,8,3,1,4,0.375,0.21944444444444441,0.125,0.17499999999999996,0.5,0.6055555555555555,4,5.666666666666667,6.0,1.0,1.0,0.0,8.0,232.0,24.0,62.0,2.0,320.0,320.0,45538401.0,0.175675909217805,1.7567590921780498,7.027036368712199,70.270363687122,0.0,0.0,4.1,0.0,4.1,0.0,0.0
